group,annotator_id,logRT,difficulty_z,correct,trial_z,reaction_time,difficulty,trial,cifar10_test_test_idx,correct_guess
1,2,7.313886831633462,-0.2513249499802284,1.0,-1.7163202572227547,1501,0.09503011747669453,0.0,2444,1
1,2,7.509883061154913,2.12827256681875,1.0,-1.6998187726470813,1826,0.6532093066253031,1.0,5658,1
1,2,7.370860166536716,-0.6564518973352933,1.0,-1.683317288071408,1589,2.486791900433569e-10,2.0,2201,1
1,2,6.922643891475888,-0.245020429242316,1.0,-1.6668158034957345,1015,0.0965089609569955,3.0,9000,1
1,2,7.457609289715606,-0.6564518973352933,1.0,-1.650314318920061,1733,2.486791900433569e-10,4.0,9956,1
1,2,7.044032897274685,-0.25132494998022853,1.0,-1.6338128343443876,1146,0.09503011747669451,5.0,4158,1
1,2,7.160069207596127,-0.24502042924231607,1.0,-1.6173113497687142,1287,0.09650896095699549,6.0,7809,1
1,2,6.970730078143525,-0.6564518973352933,1.0,-1.600809865193041,1065,2.486791900433569e-10,7.0,5143,1
1,2,7.465655310134056,0.48422828681651253,0.0,-1.5843083806173675,1747,0.26756791279391967,8.0,9689,0
1,2,7.40184157874383,0.2972901778853184,0.0,-1.567806896041694,1639,0.22371807628688192,9.0,4945,0
1,2,7.029972911706386,-0.6564518973352933,1.0,-1.5513054114660205,1130,2.486791900433569e-10,10.0,6019,1
1,2,7.1316985104669115,-0.2384971706466892,1.0,-1.534803926890347,1251,0.09803911350078018,11.0,578,1
1,2,6.918695219020472,-0.24502042924231607,1.0,-1.5183024423146736,1011,0.09650896095699549,12.0,2369,1
1,2,7.072421900537371,-0.2384971706466892,1.0,-1.5018009577390004,1179,0.09803911350078018,13.0,1580,1
1,2,8.862766742283796,3.7534284500335975,1.0,-1.4852994731633269,7064,1.0344200730381115,14.0,6021,1
1,2,7.083387847625295,-0.2384971706466892,1.0,-1.4687979885876534,1192,0.09803911350078018,15.0,6888,1
1,2,7.251344983372214,-0.6564518973352933,1.0,-1.45229650401198,1410,2.486791900433569e-10,16.0,2306,1
1,2,6.816735880594968,-0.24502042924231607,1.0,-1.4357950194363065,913,0.09650896095699549,17.0,2748,1
1,2,7.265429723253953,-0.6564518973352933,1.0,-1.4192935348606333,1430,2.486791900433569e-10,18.0,2703,1
1,2,6.862757913051401,0.05951796433758388,1.0,-1.4027920502849598,956,0.1679441479552211,19.0,5742,1
1,2,6.882437470997847,-0.6564518973352933,1.0,-1.3697890811336129,975,2.486791900433569e-10,21.0,6010,1
1,2,7.22983877815125,1.5769024954590036,1.0,-1.3532875965579394,1380,0.5238751241933113,22.0,4169,1
1,2,7.707512194600341,1.0919324772606964,1.0,-1.3367861119822662,2225,0.4101163185094571,23.0,3981,1
1,2,6.921658184151129,-0.6564518973352933,1.0,-1.3202846274065927,1014,2.486791900433569e-10,24.0,4378,1
1,2,7.229113877793302,0.16473910672459344,1.0,-1.3037831428309192,1379,0.19262573865459182,25.0,9111,1
1,2,7.035268599281097,-0.6564518973352933,1.0,-1.2872816582552458,1136,2.486791900433569e-10,26.0,3987,1
1,2,7.671826797878781,-0.6564518973352933,1.0,-1.2707801736795723,2147,2.486791900433569e-10,27.0,821,1
1,2,6.8885724595653635,-0.245020429242316,1.0,-1.2542786891038988,981,0.0965089609569955,28.0,4619,1
1,2,7.326465613840322,2.118905196767318,1.0,-1.2377772045282256,1520,0.6510120144433895,29.0,4447,1
